index,number,frn,business_name,business_address,foreign_voice_provider,country,other_frns,other_dba_names,previous_dba_names,robocall_mitigation_contact_name,contact_title,contact_department,contact_business_address,contact_country,contact_telephone_number,contact_phone_extension,implementation,voice_service_provider_choice,gateway_provider_choice,intermediate_provider_choice,last_updated,filing_url
9291,RMD0024351,35906759,1234VOIP.COM LLC,1607 PONCE DE LEON AVE SUITE GM 08 SAN JUAN PR 00909,No,United States of America,,,,George Kaltner,President,Operations,1607 PONCE DE LEON AVE SUITE GM 08 SAN JUAN PR 00909,United States of America,9172872067,,Yes,Yes,No,No,2024-12-11,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=999258b987ced610369441550cbb3532&view=sp
7285,RMD0013648,30944862,1820 Services LLC,4833 Saratoga Blvd STE 630 Corpus Christi TX 78413,No,United States of America,,none,,Matt Gardner,Owner,Technical,4833 Saratoga Blvd STE 630 Corpus Christi TX 78413,United States of America,3619601820,,No,No,No,Yes,2024-04-04,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=fb7dc6081b7e251002beea82f54bcb63&view=sp
8539,RMD0020515,34347336,"1Path Managed Services, LLC",2300 Windy Ridge Parkway Suite 685 Atlanta GA 30339,No,United States of America,,,,Chuck Bloodworth,Chief Information Security Officer,Security,2300 Windy Ridge Parkway Suite 685 Atlanta GA 30339,United States of America,678-764-6565,,No,Yes,No,No,2024-04-10,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=457caaec1b29065066b76356624bcb52&view=sp
3103,RMD0005666,31365521,1SimplePhone,PO box 359 Forestburg TX 76239,No,United States of America,,,,Jonathan Pitts,Owner,Sales,PO box 359 Forestburg TX 76239,United States of America,'+1 469 320 1111,101,No,Yes,No,No,2024-04-11,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e8eb31891b26f81064c4426de54bcb84&view=sp
3304,RMD0005954,31384977,1Voice Tech LLC,3479 NE 163RD ST Ste 2148 N Miami Beach FL 33160,No,United States of America,,,,David Vayman,Managing Partner,Support,3479 NE 163RD ST Ste 2148 N Miami Beach FL 33160,United States of America,7187584809,,Yes,Yes,No,No,2024-03-29,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=1cc297621b6ebc1085edebdbac4bcb21&view=sp
161,RMD0001627,23005572,"1Wire Fiber, LLC",171 west 7065 south Midvale UT 84047,No,United States of America,none,none,none,Steve Hardy,President,Billing,171 west 7065 south Midvale UT 84047 UTAH,United States of America,8019906200,,Partial,Yes,No,No,2024-04-01,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=112974061b94fc10e4ec848ce54bcb0a&view=sp
4897,RMD0008019,25110404,1klick,43300-116 Southern Walk Plz Suite 604 Ashburn VA 20148,No,United States of America,,,,Dan Abdul,Operations Manager,Operations,43300-116 Southern Walk Plz Suite 604 Ashburn VA 20148,United States of America,5713355588,,Yes,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ac34c3f61bba38108d57ecace54bcba2&view=sp
610,RMD0002202,21882451,"1stPoint Communications, LLC",15 Corporate Place South Suite 100 Piscataway NJ 08854,No,United States of America,,,,Erik Levitt,Administrator,Legal,"401 East 34th Street, N27J New York NY 10016",United States of America,2127965502,,Yes,Yes,No,No,2025-01-14,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5ca234781b70f0109294113d9c4bcbf3&view=sp
791,RMD0002433,8181448,"1stel, Inc",205 E Henderson Cleburne TX 76031,No,United States of America,,,,Nathan Bowyer,President,Executive,205 E Henderson Cleburne TX 76031,United States of America,817-357-1015,,Yes,Yes,No,No,2024-08-07,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5ad57fed1bbcf4109294113d9c4bcbeb&view=sp
7004,RMD0012692,33227414,200 Engineering LLC,30 N Gould St Suite R Sheridan WY 82801,No,United States of America,,,,Jose Luis Sanchez,CEO,CEO,30 N Gould St Suite R Sheridan WY 82801,United States of America,7862337316,,Partial,No,No,Yes,2024-08-08,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f82afc96db44651032765425f396198e&view=sp
13,RMD0001423,25544289,200 Networks LLC,10580 N McCarran Blvd 115-302 Reno NV 89503,No,United States of America,none,none,none,Omar Luna,Chief Executive Officer,Executive Team,"526 South Main Street,�Suite 802, Akron OH 44311",United States of America,8325060905,,No,No,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2b74b8331ba728107ccf20ecac4bcb29&view=sp
276,RMD0001770,3774429,"24-7 Telcom, Inc.",P.O. Box 247 Menomonie WI 54751,No,United States of America,none,none,none,James L. Kusilek,CEO,CEO,912 Crescent St. Menomonie WI 54751,United States of America,715-231-2000,,Partial,Yes,No,No,2024-10-21,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=327e8e301ba8741022e3a681f54bcb12&view=sp
3027,RMD0005554,31355621,"24/7 Networks, LLC",116 Inverness Drive E. #200 Englewood CO 80112,No,United States of America,,,"24/7 Networks, Inc.",Liam Keegan,President,Operations,116 Inverness Drive E. #200 Englewood CO 80112,United States of America,3039912224,,No,Yes,No,No,2022-11-25,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=15cbbad01b6e3810823a419ae54bcb81&view=sp
3995,RMD0006859,31300957,247 IT Professional Solutions Corp.,19601 Cypress Ct Hialeah FL 33015,Yes,United States of America,,,,Marcelo Alfaro,President,IT,19601 Cypress Ct Hialeah FL 33015,United States of America,'+1305-767-5066,,No,Yes,No,No,2024-12-31,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3bd9f0911bf634107b3bed39bc4bcbc9&view=sp
8108,RMD0017988,26394759,"247VoIP Services, LLC",130 E Voris St Suite A Akron OH 44311,No,United States of America,,,,Mike Obi,Director,Support,130 E Voris St Suite A Akron OH 44311,United States of America,3307782453,708,Yes,Yes,No,No,2024-08-14,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5f14dd6d1b20c610b68ea828624bcb7a&view=sp
8453,RMD0019599,34644773,"24IThub, LLC",304 S. Jones Blvd Suite 3721 Las Vegas NV 89107,No,United States of America,,,,Narender Kumar,Mr.,Director,304 S. Jones Blvd Suite 3721 Las Vegas NV 89107,United States of America,7025000206,,Partial,Yes,No,No,2024-03-21,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f4fd1d061b01461087526467624bcb35&view=sp
8683,RMD0021501,35434133,24X7Freight INC,8 THE GREEN STE 10189 DOVER DE 19901,No,United States of America,none,,,S Joshi,Manager,Sales,8 THE GREEN STE 10189 DOVER DE 19901,United States of America,3023058012,,No,Yes,No,No,2024-05-16,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a12d09481b5a8610379cec2de54bcb0d&view=sp
8302,RMD0019196,24987075,"24x7 Protect IT, Inc.",457 Nathan Dean Blvd. Ste. 105-153 Dallas GA 30132,No,United States of America,,,,Paul J. Chrisco,CEO,Support,457 Nathan Dean Blvd. Ste. 105-153 Dallas GA 30132,United States of America,678-3102002,,Yes,Yes,No,No,2024-02-27,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7558f03e1be08a10b861c844604bcb49&view=sp
459,RMD0002004,22722623,"2600hz, Inc.",2831 St. Rose Parkway Suite 200 Henderson NV 89052,No,United States of America,none,zswitch,none,Tobin Farrand,"Senior Vice President, Engineering & Operations",Engineering & Operations,525 ALMANOR AVE. SUITE 200 SUNNYVALE CA 94085,United States of America,6505666600,,Yes,Yes,No,No,2024-04-02,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9ea11f071b6cb050e4ec848ce54bcb1d&view=sp
8967,RMD0022079,35527563,2N Network Inc,6547 N Academy BIvd # 2265 CoIorado Spri CoIorado Springs CO 80901,No,United States of America,,,,Peiyun Li,Founder,Strategic Office,6547 N Academy BIvd # 2265 CoIorado Spri CoIorado Springs CO 80901,United States of America,'+3235104660,,Partial,Yes,Yes,No,2024-07-21,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d7242d6d87e78a10e1cc75d9cebb35bf&view=sp
4877,RMD0007995,18932590,2Talk LLC,4712 Admiralty Way Unit 113 Marina del Ray CA 90292,No,United States of America,,Vaitel  2vFax,,Dorothy Johnstone,CEO,Operations,318 Avenue I Unit 225 Redondo Beach CA 90277,United States of America,3106341792,,Yes,Yes,No,No,2024-04-01,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a19c3a7a1bfe3810c8e0ed3ce54bcb14&view=sp
2873,RMD0005324,31302664,"2X Communictions, Inc",2589 N Air-Fresno Drive 104 Fresno CA 93727,No,United States of America,,Comtek Business Communications vPhones,,Kala Mullaney,President,Technical,2589 N Air-Fresno Drive 105 Fresno CA 93727,United States of America,5599059800,,Yes,Yes,No,No,2024-03-29,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=0c1f31bb1bca7810e560873fe54bcb70&view=sp
8636,RMD0021306,35360551,"2X Solutions, LLC",779 Newton Way Costa Mesa CA 92627,No,United States of America,none,none,none,John Jenkins,General Counsel,Legal Dept.,779 Newton Way Costa Mesa CA 92627,United States of America,714-222-2333,,Partial,Yes,No,No,2024-04-29,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e59fe4b61bf1c2503c4edb1ee54bcb79&view=sp
5230,RMD0008463,31458011,"2n1 Tech Solutions, Inc.",10721 Treena st. Ste 130 San Diego CA 92131,No,United States of America,none,two hands technology inc 1 bit solutions,none,Brandon Glidden,ceo,corp,10731 Treena st. Suite 130 San Diego CA 92131,United States of America,8582002011,,Yes,Yes,No,No,2024-12-12,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=898279271bf6b810165aedfde54bcbe1&view=sp
3853,RMD0006674,31391980,3 Atlantic Systems,1200 Jefferson St Hollywood FL 33019,No,United States of America,,3 Voice Systems,,Andres Loi,President,VoIP,1200 Jefferson St Hollywood FL 33019,United States of America,7863011876,,Yes,Yes,No,No,2024-12-12,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=6315476c1bbab0109ac2ea04bc4bcb60&view=sp
27,RMD0001443,28809465,3 Billionaires Corporation,4140 Union St. Suite 14D Flushiing NY 11355,No,United States of America,,Ucall,,Steve Wang,President,Management,4140 Union St. Flushiing NY 11355,United States of America,347-266-0000,,Yes,Yes,No,No,2024-02-21,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c1b72b211b7728107ccf20ecac4bcbf3&view=sp
6093,RMD0009823,31861388,"3 COM, LLC",525 N. Cleveland Massillon Road Suite 110 Akron OH 44333,No,United States of America,,,,David Singer,President,Regulatory,525 N. Cleveland Massillon Road Suite 110 Akron OH 44333,United States of America,888-251-5353,,No,No,No,Yes,2024-02-27,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=4f1dd0511b9945109ac2ea04bc4bcba4&view=sp
403,RMD0001935,1646454,"3 Rivers Telephone Cooperative, Inc. d/b/a 3 Rivers Communications",PO Box 429 202 5th Street South Fairfield MT 59436,No,United States of America,,3 Rivers Communications,,Tim Hodges,Director of Network Operations,Network Operations,PO Box 429 Fairfield MT 59436,United States of America,(406) 467-2535,4254,Partial,Yes,No,No,2024-02-19,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b44191be1b683050e4ec848ce54bcb5e&view=sp
8528,RMD0020393,17690116,33 Wireless Inc.,848 N. Rainbow Blvd. Suite 3621 Las Vegas NV 89107,No,United States of America,,,,Fabricio Cabrera,President,Compliance,848 N. Rainbow Blvd. Suite 3621 Las Vegas NV 89107,United States of America,2143829586,,Yes,Yes,No,No,2024-04-08,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=941604441bad8250867665b5624bcb30&view=sp
9399,RMD0025487,33681230,"360 Broadband, LLC",17375 US Highway 70 Durant OK 74701,No,United States of America,,,,Drew Beverage,Chief Operating Officer,Executive Offices,17375 US Highway 70 Durant OK 74701,United States of America,(580) 634-7593,,No,Yes,No,No,2024-12-23,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7bf8a25b97a6da107e1ed28de053af4a&view=sp
6317,RMD0010917,32179566,360 CONNECTED LC,127 W. Fairbanks Ave PMB 400 Winter Park FL 32789,No,United States of America,,,,Frank Holzkamp,President,Technical Operations,127 W. Fairbanks Ave PMB 400 Winter Park FL 32789,United States of America,3213607474,,Partial,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f60da8b11ba64510ac9c0d08ec4bcb37&view=sp
2980,RMD0005477,31332596,360TechLLC dba Brewtech,1042 Willow Creek Rd A101-496 Prescott AZ 86301,No,United States of America,,,,Gregory Lum,CEO,,5701 West Ramlbing Rd A101-496 Prescott AZ 86305,United States of America,6198465008,,Yes,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=291cccd61b9ef010503110ad9c4bcbe4&view=sp
86,RMD0001520,20540308,382 Communications Corporation,1017 Turnpike Street STE 33 Canton MA 02021,No,United States of America,,,,Dan Koch,CEO,Legal and Regulatory,45 Dan Road Canton MA 02021,United States of America,617-669-7938,,Yes,Yes,Yes,Yes,2024-02-20,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c1a04ec21bc43c5002beea82f54bcb30&view=sp
4662,RMD0007723,31441132,3D Diagnostix,24 Denby road suit 148 Boston MA 02134,No,United States of America,,,,Rami Harraz,IT Manager,IT,24 Denby road suit 148 Boston MA 02134,United States of America,866-834-7925,,Yes,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9b80622e1bbef410e4ec848ce54bcbbb&view=sp
7913,RMD0016510,27362102,"3E8 Broadband Solutions, LLC",4314 Stadium Blvd. Jonesboro AR 72404,No,United States of America,,empower Delivered by Craighead Electric,,Jonathan Stidman,Compliance Analyst,Executive Offices,4314 Stadium Blvd. Jonesboro AR 72404,United States of America,870-336-0999,,No,Yes,No,No,2025-01-16,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=855de09b87d0c290a53f86e80cbb35b6&view=sp
4608,RMD0007653,31439714,"3Fold IT, LLC",PO Box 1350 Grafton WI 53024,No,United States of America,,,"Tech Rooms, LLC",Marc Martino,President,Administration,PO Box 1350 Grafton WI 53024,United States of America,'+1 262-836-3030,,Yes,Yes,No,No,2024-04-11,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=43718a261b7ef4105eb762cfe54bcb2c&view=sp
5952,RMD0009487,31671969,"3MD Solutions, LLC",7721 Wolf Road Indian Head Park IL 60525,No,United States of America,,Trucking Hub,,Milos Pavlovic,CEO,Executive Offices,6475 Joliet Road Countryside IL 60525,United States of America,708.286.5771,,No,Yes,No,No,2024-04-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=49fc5f811bc4c110b7fca93ce54bcbd5&view=sp
4705,RMD0007775,31442825,3Packet.com Inc.,3111 W Polk Ave Anaheim CA 92801,No,United States of America,,,,Mitesh Damania,President,Executive,3111 W Polk Ave Anaheim CA 92801,United States of America,7147074211,,Yes,Yes,No,No,2024-12-28,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=efe004b21b3a3810d39dddb6bc4bcb14&view=sp
8544,RMD0020541,31392798,3c,"7322 S Rainbow Blvd, 223, 223, 223 223 Las Vegas NV 89139",No,United States of America,none,none,none,Sherif Abouseda,owner,main office,"7322 S Rainbow Blvd, 223, 223, 223 223 Las Vegas NV 89139",United States of America,5597799392,,Yes,Yes,No,No,2024-04-11,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=6f14627887a146504a8187b9cebb3527&view=sp
5788,RMD0009227,31565658,"3i Tech Works, Inc",2255 Glades Road suite 324A Boca Raton FL 33431,No,United States of America,,,,Joseph Riano,CEO,Headquarters,2255 Glades Road suite 324A Boca Raton FL 33431,United States of America,9547294500,,Partial,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=981327801b2bb0102eb2a82fe54bcb37&view=sp
4082,RMD0006966,18940627,4 SIWI LLC,3307 W Commercial Marion IL 62959,No,United States of America,,,,Cecilia Uban,General Manager,Management,3307 W Commercial Marion IL 62959,United States of America,6189977494,,Yes,Yes,No,No,2024-12-11,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b3eb5ddd1bba3410d39dddb6bc4bcbbd&view=sp
5349,RMD0008623,30289946,"4-County Fiber, LLC",P.O. Box 8466 Columbus MS 39705,No,United States of America,,FASTnet,,Jimmie Daniels,Manager of Customer Service,Customer Service,P.O. Box 8466 Columbus MS 39705,United States of America,6622450724,,Yes,Yes,No,No,2024-02-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=679a56cd1b07bc105eb762cfe54bcbb6&view=sp
7856,RMD0016009,34181883,412 Telecom LLC,737 Veronica Drive Pittsburgh PA 15235,No,United States of America,none,none,none,Thomas Yapsuga,CEO,Telecom,737 Veronica Drive Pittsburgh GA 15235,United States of America,4123341424,,Yes,No,Yes,No,2024-06-05,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=732a74ef1bb3b9102d705285604bcb9e&view=sp
3317,RMD0005974,23776164,"48TELCOM, LLC",10773 NW 58th Street #19 Doral FL 33178,No,United States of America,none,none,none,EZEQUIEL ZAMORA,CTO,IT,10773 NW 58th Street STE 19 Doral FL 33178,United States of America,3054239552,,No,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8dd693a2dbaebc1032765425f3961909&view=sp
8004,RMD0017181,27790310,4D Support,PO box 736 Fishers IN 46038,No,United States of America,,4D Solutions LLC,,Quryn Vandermerwe,President,IT,PO box 736 Fishers IN 46038,United States of America,3177742480,103,Yes,Yes,No,No,2024-07-29,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7c79f2c9db644610d2dfa368139619bd&view=sp
4094,RMD0006982,22932115,4IT Inc.,12595 SW 137 Ave 301 Miami FL 33186,No,United States of America,,,,Alexander Freund,President,Accounting,12595 SW 137th Ave. Suite 301 Miami FL 33186,United States of America,305-278-7100,,Yes,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8dee51dd1bf634105eb762cfe54bcbf1&view=sp
4616,RMD0007665,31440217,4QuartersIT,7235 Bonneval Rd Suite 836 Jacksonville FL 32256,No,United States of America,none,none,none,Terry Fields,CEO,IT,7235 Bonneval Rd Suite 836 Jacksonville FL 32256,United States of America,9046742110,,No,Yes,No,No,2024-12-31,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2a4542ae1bf6f410810387bae54bcb6a&view=sp
1607,RMD0003493,21311154,4Voice LLC,1095 Broken Sound Parkway NW Suite 201 Boca Raton FL 33497,No,United States of America,,,,4Voice Support,Technical Support,Operations,1095 Broken Sound Parkway NW Boca Raton FL 33497,United States of America,8888642317,2,Yes,Yes,No,No,2024-12-11,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e32be3cd1bc5b0102eb2a82fe54bcbdb&view=sp
6473,RMD0011280,25529751,4ip Technology,415 S Washington St. Fredericksburg TX 78624,No,United States of America,,Nexstream,Hill Country Computer and Network Services,Patrick King,"Owner, President, CEO",Administration,415 S Washington St. Fredericksburg TX 78624,United States of America,5128708310,,No,Yes,No,No,2024-12-30,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=80b9dcad1be3c110dcd1ed3be54bcbad&view=sp
7079,RMD0012993,33280850,50 Stars IT Technologies,,No,United States of America,,,,,CEO,Legal,,United States of America,'+1 8068787377,,Yes,Yes,No,No,2023-01-30,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=dea60d101b782d10e4ec848ce54bcb09&view=sp
8719,RMD0021559,35462779,5th Gear Technology Concepts,640 Spence Lane Suite 100 Nashville TN 37217,No,United States of America,,,,Meredith Duke,Office Administrator,Support,640 Spence Lane Suite 100 Nashville TN 37217,United States of America,6156063121,101,Yes,Yes,No,No,2024-05-22,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=505c2aca87964610e1cc75d9cebb3508&view=sp
