index,frn,business_name,contact_telephone_number,business_address,contact_business_address,implementation
20,24200370.0,MULTITEL LLC,8886868581,4103 Oak Tree Circle Rochester MI 48306,4103 Oak Tree Circle Rochester MI 48306,Complete STIR/SHAKEN Implementation
21,1551241.0,The Siskiyou Telephone Co.,5304676000,PO Box 157 30 Telco Way Etna CA 96027,PO Box 157 30 Telco Way Etna CA 96027,Complete STIR/SHAKEN Implementation
23,20926788.0,LTD Broadband LLC,507-318-0143,69 Teahouse St Las Vegas NV 89138,69 Teahouse St Las Vegas NV 89138,Complete STIR/SHAKEN Implementation
24,18456251.0,"Computer Telephony Innovations, Inc.",7012648100,1723 N. Walnut St. Wahoo NE 68066,509 25th Ave N Fargo ND 58102,Complete STIR/SHAKEN Implementation
25,25466137.0,"Infotel Systems, Inc.",804-264-4205,6008 Hermitage Road Henrico VA 23228,6008 Hermitage Road Henrico VA 23228,Complete STIR/SHAKEN Implementation
26,30209019.0,Clearly IP Inc.,9203833100,3255 W Highview Dr Appleton WI 54914,3255 W Highview Dr Appleton WI 54914,Complete STIR/SHAKEN Implementation
27,28809465.0,3 Billionaires Corporation,347-266-0000,4140 Union St. Suite 14D Flushiing NY 11355,4140 Union St. Flushiing NY 11355,Complete STIR/SHAKEN Implementation
28,17591066.0,Vonage Business Inc.,864 477 9651,"101 Crawfords Corner Road, Suite 2416 Holmdel NJ 07733","101 Crawfords Corner Road, Suite 2416 Holmdel NJ 07733",Complete STIR/SHAKEN Implementation
29,1685718.0,"Valley Telephone Cooperative, Inc.",8006879725,881 E Hidalgo Ave Raymondville TX 78580,480 S 6th Street Raymondville TX 78580,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
30,17535386.0,"VTX Communications, LLC",8006879725,881 E. Hidalgo Ave Raymondville TX 78580,480 S 6th Street Raymondville TX 78580,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
31,1952605.0,Surry Telephone Membership Corporation,3363745021,819 E Atkins St PO Box 385 Dobson NC 27017,819 E Atkins St PO Box 385 Dobson NC 27017,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
32,13563077.0,YMax Communications Corp.,9088067096,931 Village Blvd Suite 905 Box 386 West Palm Beach FL 33409,931 Village Blvd West Palm Beach FL 33409,Complete STIR/SHAKEN Implementation
33,22777379.0,"Bulk Solutions, LLC",8559060901,704 N. King Street uite 500 Wilmington DE 19801,1201 N Orange Street Suite #7125 Wilmington DE 19801,Complete STIR/SHAKEN Implementation
34,28107282.0,White Cloud Communications US LLC DBA: Broadlinc,5022154111,150 PROGRESS WAY OWENTON KY 40359,150 PROGRESS WAY OWENTON KY 40359,Complete STIR/SHAKEN Implementation
35,3749819.0,Cassadaga Telephone Corporation,716-673-3091,40 TEMPLE ST PO BOX 209 FREDONIA NY 14063,40 TEMPLE ST FREDONIA NY 14063,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
36,3414224.0,Dunkirk and Fredonia Telephone Company,716-673-3091,40 Temple St PO BOX 209 Fredonia NY 14063,40 Temple St Fredonia NY 14063,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
37,3749843.0,DFT Local Service Corporation,716-673-3091,40 TEMPLE ST PO BOX 209 FREDONIA NY 14063,40 TEMPLE ST FREDONIA NY 14063,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
38,4331047.0,"Thacker-Grigsby Telephone Co., Inc.",606-785-2226,60 Communications Lane PO Box 789 Hindman KY 41822,60 Communications Lane Hindman KY 41822,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
39,19368158.0,"One Ring Networks, Inc.",214-382-9990,4000 Dekalb Technology Parkway Suite 450 Atlanta GA 30340,1909 N Glennville Dr Suite 106 Richardson TX 75081,Complete STIR/SHAKEN Implementation
40,4310694.0,"Peoples Telecommunications, LLC",9137572500,208 N. Broadway PO Box 450 LaCygne KS 66040,208 N. Broadway PO Box 450 LaCygne KS 66040,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
41,16420713.0,Crocker Communications,4137462760,P.O. Box 710 Greenfield MA 01302,P.O. Box 710 Greenfield MA 01302,Complete STIR/SHAKEN Implementation
42,17306663.0,Vector Data Systems LLC,3013581690,5041 Howerton Way Ste A Bowie MD 20715,5041 Howerton Way Ste A Bowie MD 20715,Complete STIR/SHAKEN Implementation
43,18122523.0,"Masergy Cloud Communications, Inc.",215-286-3039,5757 West Century Blvd Los Angeles CA 90045,One Comcast Center 1701 John F Kennedy Boulevard Philadephia CA 19103,Complete STIR/SHAKEN Implementation
44,2008043.0,Hardy Telecommunications Inc,304-897-9911,2255 Kimseys Run Rd Lost River WV 26810,2255 Kimseys Run Rd Lost River WV 26810,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
45,4273454.0,Molalla Telephone Company dba Molalla Communications Company,503-829-1100,211 Robbins Street PO Box 360 Molalla OR 97038,211 Robbins Street Molalla OR 97038,Complete STIR/SHAKEN Implementation
46,7415706.0,"Limitless Mobile, LLC",4843333131,2574 Interstate Drive Harrisburg PA 17110,2574 Interstate Drive Harrisburg PA 17110,Complete STIR/SHAKEN Implementation
47,27555978.0,"Junction Cloud Connections, Inc.",3022036888,8 The Green STE 8115 Dover DE 19901,8 The Green STE 8115 Dover DE 19901,Complete STIR/SHAKEN Implementation
48,18617688.0,"Grafton Technologies, Inc.",618-639-4841,301 Commerce Blvd Jerseyville IL 62052,301 Commerce Blvd Jerseyville IL 62052,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
49,4533105.0,"UBTA-UBET Communications, Inc. d/b/a STRATA Networks",435-622-5007,211 East 200 North PO Box 398 Roosevelt UT 84066,211 East 200 North Roosevelt UT 84066,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
50,4321030.0,"Affinity Network, Inc.",702-547-8000,250 Pilot Rd Suite 220 Las Vegas NV 89119,250 Pilot Rd Suite 220 Las Vegas NV 89119,Complete STIR/SHAKEN Implementation
51,30899116.0,OBHost LLC,3024401447,16192 Costal Highway Lewes DE 19958,16192 Costal Highway Lewes DE 19958,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
52,10159515.0,United World Telecom LC,5612767156,3333 S Congress Ave Suite 300 Delray Beach FL 33445,"3333 S Congress Ave, Ste 300 Delray Beach FL 33445",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
53,1789080.0,"Inter Mountain Cable, Inc.",6064789401,5 Laynesville Rd PO Box 160 Harold KY 41635,5 Laynesville Rd PO Box 160 Harold KY 41635,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
54,22767727.0,Edge Communications Solutions LLC,9727299231,6505 Windcrest Drive Suite 200 Plano TX 75024,6505 Windcrest Drive Suite 200 Plano TX 75024,Complete STIR/SHAKEN Implementation
55,1791995.0,Gearheart Communications,6064789401,5 Laynesville Road PO Box 160 Harold KY 41635,5 Laynesville Road PO Box 160 Harold KY 41635,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
56,19860642.0,"Mikrotec Communications of VA, LLC",6064789401,20 Laynesville Rd Harold KY 41635,20 Laynesville Rd Harold KY 41635,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
57,30890438.0,Latino Communications Corp,'+1 972-444-4563,5215 N O'Connor Blvd Ste 1725 Irving TX 75039,5215 N O'Connor Blvd Ste 1725 Irving TX 75039,Complete STIR/SHAKEN Implementation
58,22699458.0,9171-5573 Quebec Inc,'+1-844-866-4767,"2480, boul. des Entreprises, Suite 200 Quebec J6X 4J8 Terrebonne, Canada","2480, boul. des Entreprises Suite 200 Terrebonne J6X4J8 Quebec",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
59,25773797.0,Inventive Labs Corporation,8669235290,6400 S Fiddlers Green Circle Suite 300 Greenwood Village CO 80111,6400 S Fiddlers Green Cir STE 300 Greenwood Village CO 80111,Complete STIR/SHAKEN Implementation
60,9558909.0,"DigitalPath, Inc.",530-571-7541,1065 Marauder Street Chico CA 95973,1065 Marauder Street Chico CA 95973,Complete STIR/SHAKEN Implementation
61,2212314.0,Kingdom Telephone Company,573-826-4799,211 S Main Street P.O. Box 97 Auxvasse MO 65231,211 S Main Street P.O. Box 97 Auxvasse MO 65231,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
62,18928994.0,Kingdom Telecommunications Inc,573-826-4799,211 South Main Auxvasse MO 65231,211 South Main Auxvasse MO 65231,Complete STIR/SHAKEN Implementation
63,21193057.0,"Terra Nova Telecom, Inc.",3214288880,11523 Palmbrush Trail Ste 401 Lakewood Ranch FL 34202,11523 Palmbrush Trail Lakewood Ranch FL 34202,Complete STIR/SHAKEN Implementation
64,24241572.0,"Ontario Systems, LLC, dba Finvi",9522216267,1150 West Kilgore Avenue Muncie IN 47305,7204 Bristol Circle Edina MN 55435,Complete STIR/SHAKEN Implementation
65,3742038.0,Ellsworth Cooperative Telephone Association,515-836-4431,1540 DeWitt street PO Box 458 Ellsworth IA 50075,1540 DeWitt street PO Box 458 Ellsworth IA 50075,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
66,23688948.0,MVP Holdings LTD.,330-591-4721,PO Box 114 Medina OH 44258,PO Box 114 Medina OH 44258,Complete STIR/SHAKEN Implementation
69,23119464.0,Third Base International Telecom LLC,2399357286,3949 Evans Ave -Ste 301B Fort Myers FL 33901,3949 Evans  Ave -Suite 301B Fort Myers FL 33901,Complete STIR/SHAKEN Implementation
70,26248831.0,"Hadlo Technologies, LLC",615-814-0102,3982 Powell Rd #125 Powell OH 43066,5016 Spedale Court #304 Spring Hill TN 37174,Complete STIR/SHAKEN Implementation
71,19720747.0,"Votacall, Inc",7816930630,1504 Providence Highway Suite #19 Norwood MA 02062,1504 Providence Highway Suite #19 Norwood MA 02062,Complete STIR/SHAKEN Implementation
72,5009725.0,"State Telephone Company, Inc.",518-731-6128,46 Reed St. Coxsackie NY 12051,46 Reed St. Coxsackie NY 12051,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
73,4314068.0,"State Telephone Long Distance Company, Inc.",518-731-6128,46 Reed Street Coxsackie NY 12051,46 Reed Street Coxsackie NY 12051,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
74,2590032.0,Woolstock Mutual Telephone Association,5158395571,227 West Herman St. PO Box 155 Woolstock IA 50599,227 West Herman St Woolstock IA 50599,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
75,3707767.0,Hamilton Telephone Company,4026945101,1006 12th Street Aurora NE 68818,1006 12th Street Aurora NE 68818,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
76,3708013.0,Hamilton Long Distance Company,4026945101,1006 12th Street Aurora NE 68818,1006 12th Street Aurora NE 68818,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
77,30311997.0,"T C N, Incorporated",8667451903,162 N 400 E B200 St George UT 84770,162 N 400 E B200 St George UT 84770,Complete STIR/SHAKEN Implementation
78,6833412.0,"Broadband Dynamics, L.L.C.",602-357-3600,8757 E Via De Commercio First floor Scottsdale AZ 85258,8757 E Via De Commercio First floor Scottsdale AZ 85258,Complete STIR/SHAKEN Implementation
79,4384111.0,"DUNBARTON TELEPHONE COMPANY, INC.",603-774-9911,2 STARK  HIGHWAY SOUTH DUNBARTON NH 03046,2 STARK  HIGHWAY SOUTH DUNBARTON NH 03046,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
80,19816354.0,Voxbeam Telecommunications Inc.,4079651077,6314 Kingspointe Pkwy Suite 1 ORLANDO FL 32819,6314 Kingspointe Pkwy ORLANDO FL 32819,Complete STIR/SHAKEN Implementation
81,22477103.0,"Netrio, LLC",2148888504,116 N. Tennessee St. Suite 200 McKinney TX 75069,116 N. Tennessee St. McKinney TX 75069,Complete STIR/SHAKEN Implementation
82,28706448.0,Amplify Networks Inc,281-804-7059,170 Skyline Summit Vista Wimberley TX 78676,16515 Ranch Rd. 12 #424 Wimberley TX 78676,Complete STIR/SHAKEN Implementation
83,26368233.0,OpenSIP.com,8884634237,3815 Bayer Avenue Suite 100 Long Beach CA 90808,3815 Bayer Avenue Suite 100 Long Beach CA 90808,Complete STIR/SHAKEN Implementation
84,18384016.0,"Data @ccess Communication, Inc.",787-977-8025,316 De La Constitucion Avenue Suite 100 San Juan PR 00901,316 De La Constitucion Avenue San Juan PR 00901 00901,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
85,2596195.0,Fenton Cooperative Telephone Company,515-889-2785,300 Second Street PO Box 77 Fenton IA 50539,300 2nd St. Fenton IA 50539 Iowa,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
86,20540308.0,382 Communications Corporation,617-669-7938,1017 Turnpike Street STE 33 Canton MA 02021,45 Dan Road Canton MA 02021,Complete STIR/SHAKEN Implementation
87,5082060.0,New Hope Telephone Cooperative,2567233036,PO Box 452 5415 Main Drive New Hope AL 35747,5381 Main Drive New Hope AL 35760,Complete STIR/SHAKEN Implementation
88,24392292.0,"Callifi, LLC",2124231234,P.O. Box342H Scarsdale NY 10583,P.O. Box342H Scarsdale NY 10583,Complete STIR/SHAKEN Implementation
89,25107939.0,"WOW! Internet, Cable and Phone",630-219-3750,7887 E. Belleview Avenue Englewood CO 80111,4350 Weaver Pkwy Warrenville IL 60555,Complete STIR/SHAKEN Implementation
90,3749264.0,"Citizens Telephone Cooperative, Inc.",7152372605,328 W Main Street PO Box 127 New Auburn WI 54757,328 W Main Street New Auburn WI 54757,Complete STIR/SHAKEN Implementation
91,27116029.0,"Ntera, LLC",7152372605,328 W Main St PO Box 127 New Auburn WI 54757,328 W Main St New Auburn WI 54757,Complete STIR/SHAKEN Implementation
92,9871096.0,CCI Network Services LLC,8019944100,155 North 400 West Suite 100 Salt Lake City UT 84103,155 North 400 West Suite 100 Salt Lake City UT 84103,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
93,26820217.0,"RINGARO TELECOM, INC.",8053400205,5450 Telegraph Rd STE 101 Ventura CA 93003,"5450 Telegraph Road, Suite 101 Ventura CA 93003",Complete STIR/SHAKEN Implementation
94,23565112.0,"AKA Management, Inc.",(307) 459-2990,1621 Central Ave Cheyenne WY 82001,1621 Central Ave Cheyenne WY 82001,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
95,3730702.0,North English Cooperative Telephone Company,3196643821,105 West Oak Street PO Box 246 North English IA 52316,105 West Oak St. North English IA 52316,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
96,4939864.0,Willard Telephone Company,9702284571,7111 CR 7 Merino CO 80741,41499 Hwy 71 Stoneham CO 80754,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
97,29335494.0,"DID Central, LLC",8886765994,3900 Westerre Parkway Suite 300 Richmond Virginia 23233,3900 Westerre Parkway Suite 300 Richmond VA 23233,Complete STIR/SHAKEN Implementation
98,30735914.0,PBXIO LLC,8012345620,1034 w 500 n centerville UT 84014,1034 w 500 n centerville UT 84014,Complete STIR/SHAKEN Implementation
99,4561429.0,"Mon-Cre Telephone Cooperative, Inc.",3345623200,227 Main Street PO Box 125 Ramer AL 36069,227 Main Street Ramer AL 36069 Alabama,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
100,15337090.0,Mid-Hudson Data Corp,518-573-8101,200 Jefferson Heights PO Box 399 Catskill NY 12414,200 Jefferson Heights Catskill NY 12414,Complete STIR/SHAKEN Implementation
101,4283917.0,"Lavaca Telephone Company, Inc.-AR",479-424-1675,"14101 Wireless Way, Ste 300 Oklahoma City OK 73134","14101 Wireless Way, Ste 300 Oklahoma City OK 73134",Complete STIR/SHAKEN Implementation
102,5139662.0,"Lavaca Telephone Company, Inc.-OK",479-424-1675,"14101 Wireless Way, Ste 300 Oklahoma City OK 73134","14101 Wireless Way, Ste 300 Oklahoma City OK 73134",Complete STIR/SHAKEN Implementation
103,1940022.0,"Carolina West Wireless, Inc.",3369735000,P.O. Box 959 Wilkesboro NC 28697,1307 Curtis Bridge Rd Wilkesboro NC 28697,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
104,8699340.0,"Pinnacle Telecom, LLC",479-424-1675,"14101 Wireless Way, Ste 300 Oklahoma City OK 73134","14101 Wireless Way, Ste 300 Oklahoma City OK 73134",Complete STIR/SHAKEN Implementation
105,24882474.0,"Verge Network Solutions, Inc.",405-782-8420,18801 Hunter Creek Drive Edmond Oklahoma 73012,12308 Hidden Forest Blvd Oklahoma City OK 73142,Complete STIR/SHAKEN Implementation
106,4261061.0,"Duo County Telephone Cooperative, Inc.",270-343-1197,2150 North Main Street PO Box 80 Jamestown KY 42642,2150 North Main Street PO Box 80 Jamestown KY 42642,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
107,11119633.0,Biddeford Internet Corporation,2074942199,40 Main Street Suite 13-127 Biddeford ME 04005,"40 Main Street, Suite 13-127 Biddeford ME 04005",Complete STIR/SHAKEN Implementation
108,2926582.0,The Champaign Telephone Company,937-653-2233,126 Scioto Street Urbana OH 43078,126 Scioto Street Urbana OH 43078,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
109,3722758.0,Terril Telephone Cooperative,7128536121,107 S State ST PO Box 100 Terril IA 51364,107 S State ST Terril IA 51364,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
110,4056685.0,"Royal Communications, Inc.",7129332615,339 1st Ave. NE PO Box 200 Sioux Center Iowa 51250,"307 Main St, Royal IA 51357",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
111,4337283.0,Northland Networks,315-624-2033,9560 Main Street PO Box 419 Holland Patent NY 13354,9560 Main Street PO Box 419 Holland Patent NY 13354,Complete STIR/SHAKEN Implementation
112,4337218.0,Oneida County Rural Telephone Co.,3156242033,9560 Main Street Holland Patent NY 13354,9560 Main Street PO Box 402 Holland Patent NY 13354,Complete STIR/SHAKEN Implementation
113,2504058.0,McDonald County Telephone Co,417-223-4313,704 Main St PO Box 207 Pineville MO 64856,704 Main St Pineville MO 64856,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
114,3730959.0,River Valley Telephone Coop,7128593300,106 E Robins Street PO BOX 250 Graettinger IA 51342,106 E Robins Street Graettinger IA 51342,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
115,4320883.0,"La Ward Telephone Exchange, Inc.",361-872-2211,Highway 172 P. O. Box 246 La Ward TX 77970,Highway 172 La Ward TX 77970,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
116,4311809.0,Nunn Telephone Company,970-897-2200,285 Logan Avenue PO Box 249 Nunn CO 80648,285 Logan Avenue Nunn CO 80648,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
117,15668981.0,"Victory Telecom, Inc.",817-303-7788,500 E. Broad St. Mansfield TX 76063,500 E. Broad St. Mansfield TX 76063,Complete STIR/SHAKEN Implementation
118,8764474.0,"FirstDigital Telecom, LLC",801-437-6361,90 South 400 West Suite M-100 Salt Lake City UT 84101,357 S. 670 W. STE 300 Suite M-100 Lindon UT 84042,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
119,9729393.0,Independence Telecommunications Utility,3193321909,700 7th Ave NE Independence IA 50644,700 7th Ave NE Independence IA 50644,Complete STIR/SHAKEN Implementation
120,26266965.0,HFA Services LLC,5612825500,"2901 Clint Moor Road Suite 2, #215 Boca Raton FL 33496","2901 Clint Moore Road Suite 2, #215 Boca Raton FL 33496",Complete STIR/SHAKEN Implementation
121,27469766.0,IP Horizon LLC,8884441111,"2901 Clint Moore Road Suite 2, #215 BOCA RATON Florida 33496","2901 Clint Moore Road Suite 2, #215 BOCA RATON FL 33496",Complete STIR/SHAKEN Implementation
122,23187610.0,IPitomy Communications LLC,9413062225,2837 Cattlemen Rd Sarasota FL 34232,2837 Cattlemen Rd Sarasota FL 34232,Complete STIR/SHAKEN Implementation
123,29886611.0,Mobi Telecom LLC,339-203-6223,1309 Coffeen Ave #1200 Sheridan WY 82801,1309 Coffeen Ave #1200 Sheridan WY 82801,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
124,30873913.0,Telxio Networks Pte. Ltd.,'+6531633282,"30 Cecil Street # 19-08 Prudential Tower, Singapore Singapore, Singapore","30 Cecil Street # 19-08 Prudential Tower, Singapore Singapore, Singapore",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
125,1607175.0,"South Central Utah Telephone Association, Inc.",435-826-4211,318 N 100 East Kanab UT 84741,318 N 100 East Kanab UT 84741,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
126,5067228.0,Carr Telephone Company,2318982244,4325 S. Masten Road Branch MI 49402,4325 S. Masten Road Branch MI 49402,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
127,6772412.0,"Vantage Telecom, LLC d/b/a Pinnacle Telecom",479-424-1675,141 Oklahoma City OK 73134,"14101 Wireless Way, Ste 300 Oklahoma City OK 73134",Complete STIR/SHAKEN Implementation
128,4322889.0,Gorham Telephone Company,785-637-5300,PO Box 235 PO Box 235 Gorham KS 67640,100 Market Street Gorham KS 67640,Complete STIR/SHAKEN Implementation
129,24926677.0,"Low Latency Communications, LLC",205-443-0704,241 Applegate Trace Pelham AL 35124,241 Applegate Trace Pelham AL 35124,Complete STIR/SHAKEN Implementation
130,3735867.0,Citizens Telephone Company of Kecksburg,724-424-2210,RT 982 PO Box 156 Mammoth PA 15664,2748 Route 982 Mammoth PA 15664 PA,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
131,18030155.0,"Nuwave Communications, Inc.",7327198046,8275 South Eastern Ave Suite 266 Las Vegas NV 89123,8275 South Eastern Ave Suite 266 Las Vegas NV 89123,Complete STIR/SHAKEN Implementation
132,2776599.0,Hiawatha Telephone Company,9063870043,108 W Superior St Munising MI 49862,108 W Superior St Munising MI 49862,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
133,30606560.0,Qwality Tel Inc.,2175867809,477 County Road 2500 North Mahomet IL 61853,477 CR 2500 North Mahomet IL 61853 Illinois,Complete STIR/SHAKEN Implementation
134,5069232.0,"Totelcom Communications, LLC",2548931000,6100 Hwy 16 P.O. Box 290 DeLeon TX 76444,6100 Hwy 16 P.O. Box 290 DeLeon TX 76444,Complete STIR/SHAKEN Implementation
135,5069125.0,North Texas Telephone Company,2548934600,P.O. Box 290 6100 Hwy 16 DeLeon TX 76444,P.O. Box 290 DeLeon TX 76444,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
136,1699578.0,"Oklatel Communications, Inc.",2548934600,P.O. Box 290 6100 Hwy 16 De Leon TX 76444,P.O. Box 290 De Leon TX 76444,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
137,30711956.0,Primo Dialler LLC,3476952823,1309 Coffeen Avenue STE 1200 Sheridan WY 82801,1309 Coffeen Avenue Sheridan WY 82801,Complete STIR/SHAKEN Implementation
138,8233041.0,BroadRiver Communication Corporation,248-866-4225,"10701 S River Front Parkway, STE 450 Suite 450 South Jordan Utah 84095",11456 S Temple Dr Ste 100 South Jordan UT 84095,Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
139,22238604.0,Wiretap Telecom,4054718000,12316 N. May Suite 248 Oklahoma City OK 73120,1200 Brickell Ave Suite 1800 Miami FL 33131,Complete STIR/SHAKEN Implementation
140,3724705.0,Templeton Telephone Co,712-669-3311,115 N Main St PO Box 77 Templeton IA 51463,115 N. Main Street Templeton IA 51463,No STIR/SHAKEN Implementation - Performing Robocall Mitigation
141,30953590.0,Goode Systems and Consulting,7135245151,410 Pierce St. Ste. 241 Houston TX 77002,410 Pierce St. Ste. 241 Houston TX 77002,Complete STIR/SHAKEN Implementation
142,24799751.0,"QCSTelecom, Inc",7325957278,1 Stair Way Monroe NY 10950,1 Stair Way Monroe NY 10950,Complete STIR/SHAKEN Implementation
143,5813316.0,"Campus Communications Group, Inc.",2173533026,601 N Country Fair Dr Champaign IL 61821,601 N Country Fair Dr Champaign IL 61821,Complete STIR/SHAKEN Implementation
